iter	Passed	Remaining
824	2446	518
825	2447	515
826	2449	512
827	2450	509
828	2451	505
829	2452	502
830	2453	499
831	2455	495
832	2457	492
833	2459	489
834	2461	486
835	2462	483
836	2463	479
837	2464	476
838	2466	473
839	2467	470
840	2469	466
841	2470	463
842	2471	460
843	2474	457
844	2475	454
845	2477	450
846	2478	447
847	2479	444
848	2480	441
849	2482	438
850	2483	434
851	2485	431
852	2486	428
853	2489	425
854	2490	422
855	2492	419
856	2493	416
857	2495	412
858	2496	409
859	2498	406
860	2499	403
861	2501	400
862	2504	397
863	2506	394
864	2507	391
865	2509	388
866	2511	385
867	2512	382
868	2513	378
869	2515	375
870	2516	372
871	2517	369
872	2519	366
873	2521	363
874	2522	360
875	2523	357
876	2524	354
877	2526	351
878	2527	347
879	2528	344
880	2530	341
881	2531	338
882	2534	335
883	2535	332
884	2537	329
885	2538	326
886	2540	323
887	2541	320
888	2542	317
889	2543	314
890	2544	311
891	2546	308
892	2549	305
893	2550	302
894	2551	299
895	2552	296
896	2554	293
897	2555	290
898	2557	287
899	2558	284
900	2559	281
901	2560	278
902	2565	275
903	2566	272
904	2568	269
905	2569	266
906	2572	263
907	2576	261
908	2581	258
909	2583	255
910	2585	252
911	2586	249
912	2594	247
913	2598	244
914	2602	241
915	2603	238
916	2606	235
917	2608	233
918	2610	230
919	2612	227
920	2614	224
921	2617	221
922	2624	218
923	2626	216
924	2628	213
925	2629	210
926	2636	207
927	2639	204
928	2641	201
929	2643	198
930	2646	196
931	2652	193
932	2654	190
933	2656	187
934	2659	184
935	2661	181
936	2662	179
937	2668	176
938	2670	173
939	2671	170
940	2673	167
941	2674	164
942	2676	161
943	2677	158
944	2682	156
945	2685	153
946	2687	150
947	2689	147
948	2690	144
949	2697	141
950	2700	139
951	2701	136
952	2703	133
953	2704	130
954	2706	127
955	2707	124
956	2710	121
957	2713	118
958	2714	116
959	2715	113
960	2717	110
961	2718	107
962	2719	104
963	2720	101
964	2722	98
965	2724	95
966	2727	93
967	2730	90
968	2731	87
969	2733	84
970	2735	81
971	2737	78
972	2741	76
973	2744	73
974	2747	70
975	2750	67
976	2752	64
977	2759	62
978	2761	59
979	2763	56
980	2768	53
981	2775	50
982	2777	48
983	2780	45
984	2781	42
985	2783	39
986	2786	36
987	2789	33
988	2791	31
989	2792	28
990	2793	25
991	2795	22
992	2796	19
993	2798	16
994	2799	14
995	2801	11
996	2803	8
997	2804	5
998	2805	2
999	2806	0
